Rxn	Cellule361_Rep1	Cellule361_Rep2	Cellule361_Rep3	MDA-MB-231_Rep1	MDA-MB-231_Rep2	MDA-MB-231_Rep3	MCF-7_Rep1	MCF-7_Rep2	MCF-7_Rep3	SK-BR-3_Rep1	SK-BR-3_Rep2	SK-BR-3_Rep3	MCF102A_Rep1	MCF102A_Rep2	MCF102A_Rep3
OMPDC	17.06969136	17.33913614	19.30629064	27.0973163	29.81648718	34.15688656	59.15759833	42.70543785	57.88041426	19.04360925	14.87583491	18.87384639	22.30813879	7.29283745	7.391016217
UMPK	15.25712089	11.8702991	14.47201814	35.16428565	38.39209049	41.10243504	26.52348687	29.70610807	17.7226311	22.69906451	21.54229764	31.50478181	47.58403214	31.11727289	49.6511935
RNDR4	7.693470848	6.455386574	8.224486733	62.11789407	69.33102599	77.99712722	53.0593726	29.27071965	41.64966715	10.65479652	7.448788447	12.07156023	13.62829771	3.051375555	3.326669935
TMDS	26.09146878	26.31582485	35.07864205	30.90357746	39.64580744	35.68205769	26.69734579	24.38791298	34.18615612	16.39534048	11.38106393	14.71750677	24.27816147	12.22373952	14.03618354
URIDK2r	58.2212489	56.81872729	66.82149336	111.3955107	125.0334658	122.4371665	69.58544604	59.61906727	66.70536612	33.3930877	34.44403043	44.91897748	72.09562275	33.80601857	36.5475216
NDPK2	1200.8424362150001	1355.1980369910002	1365.9962101980002	149.048291903	158.989605153	121.62213994899999	255.91794353800003	411.346397833	353.631045522	380.31062874799994	532.4333687220001	495.62663534999996	228.71622115300002	476.324281464	340.271953297
NDPK3	1200.8424362150001	1355.1980369910002	1365.9962101980002	149.048291903	158.989605153	121.62213994899999	255.91794353800003	411.346397833	353.631045522	380.31062874799994	532.4333687220001	495.62663534999996	228.71622115300002	476.324281464	340.271953297
CYTK1	15.25712089	11.8702991	14.47201814	35.16428565	38.39209049	41.10243504	26.52348687	29.70610807	17.7226311	22.69906451	21.54229764	31.50478181	47.58403214	31.11727289	49.6511935
CTPS1	18.928827104	19.410450749	19.433215788	28.576948739	28.919901698	32.829919851999996	33.253683902	22.547475774000002	29.846167378	25.923733267	26.074530066	25.484952396	42.613448874	24.554883927000002	23.185820696
RNDR3	7.693470848	6.455386574	8.224486733	62.11789407	69.33102599	77.99712722	53.0593726	29.27071965	41.64966715	10.65479652	7.448788447	12.07156023	13.62829771	3.051375555	3.326669935
GDHm	63.89694342999999	69.19253735999999	77.36326689	91.35113287	104.4949512	89.60610473	71.87564665000001	66.04174709	69.76438322999999	34.992571858	26.67080477	33.542675443	72.35037838	46.399232483	53.07914515
GLUDym	63.89694342999999	69.19253735999999	77.36326689	91.35113287	104.4949512	89.60610473	71.87564665000001	66.04174709	69.76438322999999	34.992571858	26.67080477	33.542675443	72.35037838	46.399232483	53.07914515
ASPTA	13.51665463	15.42913877	14.87320641	31.21049872	31.84007697	34.03272563	30.8259758	29.02356997	30.85129093	26.56646978	20.46063643	24.02786709	42.00983853	31.17863238	28.60801092
ASPTAm	54.21441081	56.36703019	57.94724738	104.283236	115.3824931	113.5581295	84.57584213	69.31363596	75.87909827	141.2967102	124.2452852	136.4959538	133.6780881	103.7256032	94.43596486
ASPGLUm	2.553584517	2.254978458	2.575364439	7.5271263159999995	8.077495812	8.297199312	7.003188209	5.54547265	5.647589643	5.058897351000001	3.771438756	4.2625967319999996	4.424557124	2.736658869	3.230266213
ASPT	39.86217883	48.42703205	53.03133571	64.12408913	73.09624079	79.12497026	33.87235715	36.51621521	39.2152415	89.48706756	70.0199795	73.51376272	79.72224273	62.34932087	64.56724579
CBPSam	0.005648686	0.018601564	0.015358433	1.253754164	1.288285519	1.436641203	0.752340299	0.678958585	0.547821358	14.33753165	9.593125031	16.91737795	0.008873223	0.004416669	0.015616074
OCBTm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ORNt4m	3.052587076	2.5089036	3.522718863	11.26735993	10.3146351	11.87016133	13.84431594	7.5083910849999995	9.83749872	3.168771262	3.06419392	3.105646612	2.15857226	0.494240038	0.716362683
ARGSS	16.5380297	19.5700605	18.42401642	5.374943116	4.860830054	3.923994792	115.4608267	132.3093671	101.2683676	74.55259193	55.72967901	66.03761475	66.6374771	88.40902217	94.13594131
ARGSL	3.544723593	3.101093906	4.87700323	8.980244223	8.577100884	7.956442008	10.32737468	4.158957065	5.411927529	7.95441968	8.80303981	9.047093537	7.969933464	3.68154704	3.390211119
ARGN	0.372857698	0.133947223	0.31598255	0.028283539	0.107204481	0.177384247	0.201144641	0.113173249	0.423756073	0.204976432	0.07111255	0.27289345	0.191684458	0.0	0.160641621
ORNDC	34.38566132	35.68208811	39.70584735	247.5518401	265.7461656	312.4177337	212.3977214	133.7939	207.5662403	113.4785639	107.3238358	112.4416233	228.7037778	87.63975272	89.63935571
SPMS	115.6403406	133.0434179	123.1359489	223.8109667	253.0120781	213.7593954	317.4675917	359.1056659	377.008813	457.5160082	636.4987855	526.0403119	436.099357	407.7820946	372.5490506
SPRMS	151.56569164	168.25181132	154.18250823	264.72862821	295.83043834	261.06016617	355.6876441	406.18268127	417.64764886999995	489.36768441	667.24053586	554.88596442	503.34494337	456.81080106	432.98417469
ADMDC	19.86500599	14.92008916	22.5570583	83.46781913	91.04385744	98.47949916	89.67398113	66.93034273	49.59888767	34.29709427	33.41286685	43.04420222	64.97558102	25.93202718	46.64330014
MTAP	0.816865232	0.729350804	0.88316911	0.004684581	0.005918732	0.011752007	0.049973149	0.043737863	0.022332034	2.892547596	3.880955477	2.6215497	0.039685687	0.006584551	0.003325869
ADPT	1519.239307	1917.990339	1676.696697	488.0548359	505.2429663	457.726844	1251.536914	1635.429199	1454.54303	730.8161434	768.8096746	826.6220629	935.3479596	926.5009332	828.5301948
MTRI	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
MDRPD	1.9173592730000002	0.650034349	1.116804264	0.594386905	0.31826849	0.258537509	0.211155064	0.256598533	0.402312106	2.507475104	2.3212456009999998	2.314903577	0.315530033	0.891463848	0.721723659
DKMPPD	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
SPMDtex2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
SPRMti	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GLYAMDTRc	0.322159074	0.245521417	0.225239369	0.061443456	0.038815356	0.115605417	0.09103515	0.081952916	0.094149421	0.033396971	0.019310706	0.083367644	0.052052165	0.021590915	0.098150494
ARGDr	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
r0074	23.03262282	21.83425077	21.93353986	0.948828298	0.930980461	0.886276242	7.393868347	6.206538839	7.094127256	17.73219784	18.42505936	26.98950016	2.097874464	1.858602336	2.049557688
GLU5SAtmc	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
G5SADs	23.03262282	21.83425077	21.93353986	0.948828298	0.930980461	0.886276242	7.393868347	6.206538839	7.094127256	17.73219784	18.42505936	26.98950016	2.097874464	1.858602336	2.049557688
PRO1x	106.2007366	120.5300262	100.5851593	140.72179	141.3402222	114.7101486	56.29879579	83.1148244	83.6196277	90.73225743	88.05221562	66.86163094	116.9911349	183.2474656	154.7173582
P5CR	106.2007366	120.5300262	100.5851593	140.72179	141.3402222	114.7101486	56.29879579	83.1148244	83.6196277	90.73225743	88.05221562	66.86163094	116.9911349	183.2474656	154.7173582
PROD2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EXRiboflavin	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
RBFK	8.637832962	7.867487102	8.445047007	48.27305686	53.70546683	51.81833125	47.92427675	56.46112506	37.73548875	22.11689553	22.05552062	27.60480132	28.15674175	15.36915749	33.69786382
FMNAT	47.41770968	51.40690295	46.07509458	33.67332719	34.93562304	31.10948008	81.24506905	74.62514809	86.43671637	90.19993972	98.66606558	88.29225859	78.08227687	82.19129908	63.76663302
TransportFAD	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ASNS1	0.204254824	0.091721878	0.086549051	0.57327722	0.508972408	0.194345394	1.010064513	1.239946616	0.675308843	0.134745535	0.331126841	0.261613632	0.945058339	0.740452639	0.968010284
ASNN	3.512811095	3.5557031230000002	3.894903955	0.135712471	0.092877347	0.170228022	2.4453393930000002	1.867139852	2.3121243639999998	2.317398439	1.5024817739999998	2.284665891	0.018341168999999997	0.015896222	0.032116843
METS	3.346006419	2.667917639	3.329773928	7.269591856	6.970414938	7.544545739	4.913884437	4.220946108	3.93362229	2.278690906	2.737635275	2.306886508	2.95633113	1.411776632	1.802363192
METAT	13.672792432	9.902852606	12.430700237	75.77990486600001	80.86452113	85.39238415	36.918771901	38.114744370000004	29.43900422	16.085558293000002	17.725733898999998	24.89137561	55.7903977	21.19477249	39.82182593
HMR_3915	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
AHCi	1.9173592730000002	0.650034349	1.116804264	0.594386905	0.31826849	0.258537509	0.211155064	0.256598533	0.402312106	2.507475104	2.3212456009999998	2.314903577	0.315530033	0.891463848	0.721723659
ADNK1	0.876606335	0.879446623	1.027016816	1.314918897	1.481517152	1.703393667	1.731280909	1.687277695	1.916856021	3.531536872	2.060766634	3.211409441	3.219652511	2.007621295	2.525672706
CYSTS	0.526910888	0.457450942	0.595382267	0.0	0.0	0.0	11.11738586	9.133946275	9.54512893	0.115866525	0.200988083	0.112479654	0.240784451	0.430714806	0.54861653
CYSTGL	0.913921243	0.876713672	0.740838601	2.287775214	1.899065065	2.093298897	1.899478886	1.857386681	1.384906107	2.274738732	2.028515661	2.745867638	9.350325319	9.911036866	11.40884684
MTHFR3	10.87803354	9.756840087	10.48666714	7.330129206	7.167565422	5.168333291	4.529951646	3.703666377	3.578757767	3.765126387	4.203980184	4.213231946	4.805923974	4.007918788	3.730844428
MetSynthesis	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
UNK3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5MTHFt	18.55400641	20.71116869	21.48959796	0.841909746	0.9614986329999999	0.762689341	0.277195707	0.811008043	0.445944252	3.999863925	2.116791277	2.3692544	0.489770347	1.380599573	0.597722874
ILETA	0.008159843	0.010748401	0.003169445	12.0582337	11.79971863	11.21634592	0.478836609	0.339039798	0.173109701	0.10855704	1.298188571	0.0	6.901139951	5.072200504	8.146766792
3MOPt2im	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ILETAm	36.22104884	33.0851864	34.01462952	27.52813233	28.32011665	23.26813864	40.59211712	42.08296607	40.81462314	31.13894948	35.70287556	39.20014947	22.38599488	19.55541431	16.71572743
LEUTA	0.008159843	0.010748401	0.003169445	12.0582337	11.79971863	11.21634592	0.478836609	0.339039798	0.173109701	0.10855704	1.298188571	0.0	6.901139951	5.072200504	8.146766792
4MOPt2im	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
LEUTAm	36.22104884	33.0851864	34.01462952	27.52813233	28.32011665	23.26813864	40.59211712	42.08296607	40.81462314	31.13894948	35.70287556	39.20014947	22.38599488	19.55541431	16.71572743
OIVD1m	0.04130517	0.163225384	0.0	0.011488583	0.116121972	0.043231373	0.068086334	0.10726383	0.046943691	0.0	0.02888544	0.013855936	0.012976823	0.016148117	0.0
ACOAD8m	29.53311571	28.94036192	33.19724661	22.16605527	22.63528413	21.76098972	22.35455547	16.77027147	20.74203717	45.98676061	38.14389987	48.35342415	19.6790661	18.74974892	15.36446694
MCCCrm	4.087529446	4.127325343	4.35990589	3.316573765	3.532240852	3.672041746	4.295563279	3.029995732	3.940352659	6.107885111	3.380477112	4.370851295	2.697125959	1.631818324	1.68856669
MGCHrm	0.394375836	0.43768229	0.498343423	0.925253626	0.993524656	0.930065782	0.643324482	0.689726707	0.628660464	1.025182222	0.685007906	0.950973991	1.67990235	1.456699751	1.580792829
HMGCOAtm	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
VALTA	0.008159843	0.010748401	0.003169445	12.0582337	11.79971863	11.21634592	0.478836609	0.339039798	0.173109701	0.10855704	1.298188571	0.0	6.901139951	5.072200504	8.146766792
3MOBt2im	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
VALTAim	36.22104884	33.0851864	34.01462952	27.52813233	28.32011665	23.26813864	40.59211712	42.08296607	40.81462314	31.13894948	35.70287556	39.20014947	22.38599488	19.55541431	16.71572743
OIVD2m	0.04130517	0.163225384	0.0	0.011488583	0.116121972	0.043231373	0.068086334	0.10726383	0.046943691	0.0	0.02888544	0.013855936	0.012976823	0.016148117	0.0
ACOAD9m	23.702532483	22.657346090999997	27.47146988	45.38505255	45.964326959999994	52.82142211	20.324601364	18.286600023	18.247475228	26.249179735000002	29.750222574	30.722108564000003	37.31284813	28.229513761	31.124143197
ECOAH12m	142.52197864	162.9080915	152.16198793	196.4112603	218.73982276	215.81146861000002	310.58684444	328.18980509000005	353.89350152	283.0734654	212.61716883	268.28914043000003	213.4849528	159.25135749999998	142.84367045
3HBCOAHLm	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
HIBDm	4.62934102	4.810414195	4.594383035	7.030806596	7.185519947	7.318335971	3.921336852	3.755968976	3.378003229	7.886478429	4.65650616	7.527850207	3.830462224	2.435018055	2.940076598
r0643	143.93776165	148.88349087	160.96037085	241.73718827200003	257.82778662699997	264.250069118	153.850142369	124.980514125	128.57395223700001	140.67050529	108.1897663	139.62457027	282.35705176	156.16607717699998	153.101338232
MMSAD1m	8.615896267	7.142902598	8.041396691	6.078811303	5.988008576	5.916061088	22.72806255	17.34567679	15.98223472	4.463510846	2.80634627	6.171646432	1.189635368	0.917179639	1.674270789
MMTSADm	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PCC	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
MMALH	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
MMEm	8.690084515	9.131962385	8.019265808	1.739661932	1.96456192	2.066243435	2.77366156	3.901474695	3.711497573	7.475347682	4.199800439	6.925715092	4.364776763	3.007853119	3.650624986
MMMm	7.069615353	5.97996917	7.120700492	11.85585278	10.71687808	12.85204518	14.86375185	11.89209024	12.28833474	5.11339032	3.514052039	5.44055134	6.532521314	3.834153801	5.734638468
ILEtmi	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
LEUt5m	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
VALt5m	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PGCD	20.72937649	24.39339964	22.74371225	4.75938645	4.168793745	3.827985224	44.3939212	44.90765683	37.22583855	4.169704873	5.983199364	4.664587643	23.20860777	25.32428263	25.22626
PSERT	8.690005565	7.118208932	7.470522569	51.8813187	51.59499962	57.2338221	44.20254553	45.83376563	34.8481835	21.66038602	23.97828815	24.1160694	133.6174768	135.9651329	222.106801
PSP_L	6.293946826	5.774459206	5.830213669	12.07987068	12.25519959	12.4114315	9.628652683	8.160112917	7.535760058	3.48371179	3.727841421	3.670500682	19.33000022	11.659502	14.04995446
GHMT2r	15.51940419	15.15358246	16.61116255	18.56029305	17.11155341	17.66620808	21.75763635	19.02185964	22.39450996	10.45761694	10.39614432	11.49174523	23.10712186	16.33301088	14.93905771
SERD_L	10.137453686	9.644956816999999	13.122228898	10.639517705	10.588950957	9.178737861	28.083366774	21.492749337	23.356583345999997	6.27629623	4.882273835	8.220629937	4.416070737	2.853451293	2.0539295390000003
ALATA_L	15.414379434	16.983730177	16.815791788	12.125950189000001	11.735733264	10.293169664999999	31.332909003	34.87020065	31.600227191	21.857749049	26.284941769999996	27.657516778999998	26.723031514000002	25.797397086	28.145269456999998
r1435	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GLYtm	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GHMT2rm	241.190041	263.7282792	280.0247187	788.3684661	781.6388784	683.3577672	633.7064111	550.4814553	498.4321274	308.0600481	241.0157724	284.1642561	432.7242744	295.7245481	300.5045028
MLTHFtm	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
r0962	8.041177216	6.518209273	7.501386126	42.38005672	46.85495248	50.32914719	25.94327447	20.93282171	16.76761161	14.38014852	16.05294831	16.36905329	40.80933738	19.31879966	31.73033709
FORtm	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
r0514	13.45282209	14.09820376	12.46398063	32.34417936	33.37073127	41.35705944	65.95186469	56.58609313	61.5916998	13.38316045	12.3961569	15.48947792	22.90993117	13.56599185	13.7356672
DHFRim	13.45282209	14.09820376	12.46398063	32.34417936	33.37073127	41.35705944	65.95186469	56.58609313	61.5916998	13.38316045	12.3961569	15.48947792	22.90993117	13.56599185	13.7356672
FTHFLmi	7.917420906	8.49971135	7.266762770000001	26.670592926	29.667307822	30.894218774	55.957001301	42.061366308000004	56.466544794	23.276598781	17.494703585	16.807176867	23.244787488	18.771741868	19.191439597
MTHFCm	40.61262807	34.66082105	45.4638412	27.92627861	29.81314452	28.74151987	96.97286598	82.82494652	68.58849739	50.47010517	44.54860732	48.72369026	84.68127592	63.17398839	145.1583328
MTHFDm	47.692371551	42.310776100000005	51.926527324999995	50.67084168	55.37446752	55.30241995	146.37501140999998	120.62673269999999	119.87725111	72.81898228	61.35314104	64.70885772	103.96486105	80.23489212	162.39331975000002
FOLR2	13.45282209	14.09820376	12.46398063	32.34417936	33.37073127	41.35705944	65.95186469	56.58609313	61.5916998	13.38316045	12.3961569	15.48947792	22.90993117	13.56599185	13.7356672
DHFR	13.45282209	14.09820376	12.46398063	32.34417936	33.37073127	41.35705944	65.95186469	56.58609313	61.5916998	13.38316045	12.3961569	15.48947792	22.90993117	13.56599185	13.7356672
FTHFLi	7.079743481	7.64995505	6.462686125	22.74456307	25.561323	26.56090008	49.40214543	37.80178618	51.28875372	22.34887711	16.80453372	15.98516746	19.28358513	17.06090373	17.23498695
FTHFDH	0.26887272	0.220503532	0.25794401299999997	1.476835764	1.19945092	1.106945808	0.125543982	0.100142204	0.093133895	1.683539798	2.1899988319999997	2.394350876	8.78143526	6.286660159	8.511985533999999
MTHFC	7.079743481	7.64995505	6.462686125	22.74456307	25.561323	26.56090008	49.40214543	37.80178618	51.28875372	22.34887711	16.80453372	15.98516746	19.28358513	17.06090373	17.23498695
MTHFD	17.957777021000002	17.406795137	16.949353265	30.074692276	32.728888422000004	31.729233371	53.932097076	41.505452557	54.867511487	26.114003497	21.008513903999997	20.198399406	24.089509103999998	21.068822517999998	20.965831378
MTHFD2i	41.058287342	35.065400142	45.842796226	28.308194865	30.215254478000002	29.247882481	97.344143253	83.25167874499999	68.990043536	50.797873687999996	44.919226992	49.1337987	85.470265467	64.242906799	146.57114382400002
ACACT1r	12.73799127	15.84523841	16.73089681	37.09096644	39.83851996	42.85742448	28.58123963	24.38651059	38.32104651	13.49538867	11.44998438	14.71431997	48.63343523	17.5285259	17.75536803
HMGCOAS	29.67374166	24.93438971	37.93092561	31.12421591	34.6819371	35.18865992	38.33752936	25.13199425	30.38240538	11.14503724	9.435442399	12.70774974	43.6486617	10.01472371	15.89267858
HMGCOAR	22.54161066	20.03081831	24.67230112	38.64953082	41.6031493	44.02860751	59.78103098	35.20762577	43.59533624	18.8987984	14.2305907	16.62871278	60.2699905	31.02805823	37.74259331
MEVK1	38.74555522	43.41649154	44.84645374	12.48649372	13.71761021	11.60692555	12.31076717	11.25573348	14.44129019	29.86885107	33.69863942	41.00291727	30.3502049	29.94900216	27.001409
PMEVK	17.5121116	18.33988594	17.16136079	16.91012074	16.4070811	15.7057413	33.17096866	26.7556314	28.72876541	27.39155343	19.92765904	26.99565563	33.68133457	14.73285281	14.84652336
IPDDI	56.40318049	44.8020038	51.18739868	63.39398043	74.024391946	83.99391073	97.90295614	90.513393932	86.64621842	88.49784107	70.99874428	90.07380240799999	97.571364138	63.93203801	71.26706612
DPMVD	73.47460174	74.02234108	96.56021224	31.28846676	31.1977548	25.66901573	66.82127558	54.66564622	67.49470005	24.55477438	36.88880075	35.39006871	96.72772446	90.09634462	66.48065192
DMATT	11.30089066	11.38246989	12.60263842	2.431084009	2.629434823	2.633553705	4.082170174	6.853604132	7.174333591	21.62276496	12.98887092	16.25947392	7.093855096	12.11510818	11.66340156
GRTT	11.30089066	11.38246989	12.60263842	2.431084009	2.629434823	2.633553705	4.082170174	6.853604132	7.174333591	21.62276496	12.98887092	16.25947392	7.093855096	12.11510818	11.66340156
HMR_1465	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
HMR_1467	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
SMO	29.62427558	28.85697438	34.65002479	8.953656257	11.00993067	11.51451729	154.7586276	144.0710334	144.44006	99.92701967	78.60781327	104.9379256	160.25345	119.8854666	151.4095309
LNSTLS	19.5579594	17.04699251	20.71530984	28.02629197	27.45906297	21.64084499	9.588665806	6.110903867	9.217435994	12.97707685	17.36708163	17.05550693	23.41534127	23.74742959	19.73741472
HMR_1477	0.221633442	0.048657083	0.114782441	2.95895661	2.557232802	2.126382286	2.484275405	0.671476729	0.923590682	0.178701224	0.18082424	0.260216468	1.172112726	0.0	0.08753096
HMR_1478	0.221633442	0.048657083	0.114782441	2.95895661	2.557232802	2.126382286	2.484275405	0.671476729	0.923590682	0.178701224	0.18082424	0.260216468	1.172112726	0.0	0.08753096
HMR_1479	0.221633442	0.048657083	0.114782441	2.95895661	2.557232802	2.126382286	2.484275405	0.671476729	0.923590682	0.178701224	0.18082424	0.260216468	1.172112726	0.0	0.08753096
C14STR	265.70820735999996	281.30205653	235.02227972999998	90.50712773000001	94.23559273000001	79.67030072	161.93486698	195.51338659	197.90537618000002	74.64524809	94.25065013999999	98.32130972	53.18516572	58.839550040000006	52.68140984
HMR_1490	30.563453792	27.160520651	33.888792867	47.009461505999994	53.245082544000006	56.331429299	55.985724536	53.866216072	46.113632381	41.616185712	29.484205442999997	42.032670952000004	117.45438805799999	72.526387087	99.185227062
HMR_1493	30.563453792	27.160520651	33.888792867	47.009461505999994	53.245082544000006	56.331429299	55.985724536	53.866216072	46.113632381	41.616185712	29.484205442999997	42.032670952000004	117.45438805799999	72.526387087	99.185227062
HMR_1494	30.563453792	27.160520651	33.888792867	47.009461505999994	53.245082544000006	56.331429299	55.985724536	53.866216072	46.113632381	41.616185712	29.484205442999997	42.032670952000004	117.45438805799999	72.526387087	99.185227062
C3STDH1	9.412378712	9.095723281	9.622533939	9.282567352	10.64499037	11.97108317	14.55388516	12.09791365	14.65590201	8.236013638	7.091991329	7.749108648	18.43411689	10.32774632	9.088412729
HMR_1495	9.412378712	9.095723281	9.622533939	10.620184663	12.931477318	13.944979081	14.55388516	12.09791365	14.65590201	11.315277438999999	8.575727631	9.741944957	18.522992963	10.32774632	9.088412729
HMR_1500	3.669854907	3.69330275	3.836710526	9.444139204	9.672308893	10.01529938	5.223873168	5.343985273	5.457151034	2.364413709	2.87819975	2.174494746	8.517869029	6.456228381	6.379878773
HMR_1502	30.563453792	27.160520651	33.888792867	47.009461505999994	53.245082544000006	56.331429299	55.985724536	53.866216072	46.113632381	41.616185712	29.484205442999997	42.032670952000004	117.45438805799999	72.526387087	99.185227062
HMR_1503	30.563453792	27.160520651	33.888792867	47.009461505999994	53.245082544000006	56.331429299	55.985724536	53.866216072	46.113632381	41.616185712	29.484205442999997	42.032670952000004	117.45438805799999	72.526387087	99.185227062
HMR_1504	30.563453792	27.160520651	33.888792867	47.009461505999994	53.245082544000006	56.331429299	55.985724536	53.866216072	46.113632381	41.616185712	29.484205442999997	42.032670952000004	117.45438805799999	72.526387087	99.185227062
HMR_1505	9.412378712	9.095723281	9.622533939	9.282567352	10.64499037	11.97108317	14.55388516	12.09791365	14.65590201	8.236013638	7.091991329	7.749108648	18.43411689	10.32774632	9.088412729
HMR_1509	3.669854907	3.69330275	3.836710526	9.444139204	9.672308893	10.01529938	5.223873168	5.343985273	5.457151034	2.364413709	2.87819975	2.174494746	8.517869029	6.456228381	6.379878773
CHLSTI_1	191.2125114	246.4516736	188.2590715	41.48913064	44.00904433	41.64330214	146.6859687	172.6588892	186.1801448	210.2635983	161.472489	196.9221916	240.7496563	242.3861944	193.9733598
HMR_1516	16.25217296	13.67981374	15.48235946	10.52153924	11.61944673	11.75552118	22.17074136	22.99945617	16.87843335	7.879340993	5.364288643	9.141227008	47.6480705	23.60740187	49.02454495
RE2410C	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
DSMSTOLR	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ACCOAC	1.425428033	1.3186397280000002	1.400196198	8.338134983	7.433980966	7.213123111	4.062511172	2.479397614	3.011818362	1.454968381	1.4209188560000001	1.5177500750000001	7.296021998	4.443472158	4.01052678
FASN	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
MCAT	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
AcetoacetylACPsynthesis	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
r0691	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
r0681	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
r0682	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
r0760	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
r0761	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
r0762	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
r0763	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
r0764	651.1395198	578.3994899	769.1321824	548.1481936	495.4779837	337.4872877	440.9314964	281.0542822	314.7000935	1265.841133	2262.133358	2136.162008	511.1493069	548.7917818	417.6527944
