Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	std_MCF7	mean_MDAMB361	std_MDAMB361	result	meanRatio	meanRatio_log
ASPCT	3.5032602998340487	0.9875886078966556	3.5032602998340487	0.0124113921033443	45.29455000000001	10.156052952740382	19.57739666666667	2.1523938014736577	1.0	2.3136145612823227	1.210148537373871
DHORTS	3.5032602998340487	0.9875886078966556	3.5032602998340487	0.0124113921033443	45.29455000000001	10.156052952740382	19.57739666666667	2.1523938014736577	1.0	2.3136145612823227	1.210148537373871
DHORD9	14.394732096275623	0.9999323197943536	14.394732096275623	6.768020564629967e-05	20.57174	0.8965304942945334	9.993496666666667	0.5256407153391208	1.0	2.058512719438541	1.0416023630212
ORPT	6.629819751939189	0.9986573704965348	6.629819751939189	0.001342629503465	53.247816666666665	7.472798802342324	17.90504	0.9969209254833936	1.0	2.973901017069309	1.5723566297172589
OMPDC	6.629819751939189	0.9986573704965348	6.629819751939189	0.001342629503465	53.247816666666665	7.472798802342324	17.90504	0.9969209254833936	1.0	2.973901017069309	1.5723566297172589
UMPK	2.8934675977821964	0.977795986585236	2.8934675977821964	0.0222040134147638	24.65074333333333	5.068289210751713	13.86648	1.4474452083585063	1.0	1.7777217674084074	0.8300295445329529
RNDR4	4.916318785382759	0.9960248306884592	4.916318785382759	0.0039751693115408	41.32658666666666	9.714362368364116	7.457783333333331	0.7412106565762676	1.0	5.54140350014638	2.4702514214478786
TMDS	-0.1764485208068903	0.4342575106788262	-0.1764485208068903	0.5657424893211738	28.423806666666668	4.182257383442051	29.161976666666664	4.184715201829417	0.0	0.9746872439945488	-0.03698873133006903
URIDK2r	1.0873832464198534	0.8309982382107758	1.0873832464198534	0.1690017617892242	65.30329666666667	4.187802908457951	60.62049	4.421995502605883	0.0	1.0772479184293409	0.10735031072532636
NDPK2	-13.810657961604871	7.965893874182366e-05	-13.810657961604871	0.9999203410612582	340.2984633333333	64.14992826657999	1307.3455633333333	75.4379947535442	-1.0	0.2602972564236771	-1.9417679893105888
NDPK3_f	-13.810657961604871	7.965893874182366e-05	-13.810657961604871	0.9999203410612582	340.2984633333333	64.14992826657999	1307.3455633333333	75.4379947535442	-1.0	0.2602972564236771	-1.9417679893105888
NDPK3_b	-13.810657961604871	7.965893874182366e-05	-13.810657961604871	0.9999203410612582	340.2984633333333	64.14992826657999	1307.3455633333333	75.4379947535442	-1.0	0.2602972564236771	-1.9417679893105888
CYTK1_r	2.8934675977821964	0.977795986585236	2.8934675977821964	0.0222040134147638	24.65074333333333	5.068289210751713	13.86648	1.4474452083585063	1.0	1.7777217674084074	0.8300295445329529
CTPS1	2.938333601242884	0.9787702206479372	2.938333601242884	0.0212297793520629	28.54911	4.465979033590135	19.2575	0.2325906201892063	1.0	1.482493054654031	0.5680253458912397
RNDR3	4.916318785382759	0.9960248306884592	4.916318785382759	0.0039751693115408	41.32658666666666	9.714362368364116	7.457783333333331	0.7412106565762676	1.0	5.54140350014638	2.4702514214478786
GDHm	-0.2162129630885957	0.4197002196355817	-0.2162129630885957	0.5802997803644182	69.22726	2.411772615498126	70.15091666666666	5.53921626788684	0.0	0.986833291558319	-0.01912170803335091
GLUDym_f	-0.2162129630885957	0.4197002196355817	-0.2162129630885957	0.5802997803644182	69.22726	2.411772615498126	70.15091666666666	5.53921626788684	0.0	0.986833291558319	-0.01912170803335091
GLUDym_b	-0.2162129630885957	0.4197002196355817	-0.2162129630885957	0.5802997803644182	69.22726	2.411772615498126	70.15091666666666	5.53921626788684	0.0	0.986833291558319	-0.01912170803335091
ASPTA_f	18.83061931289813	0.9999765824471925	18.83061931289813	2.3417552807735585e-05	30.23361333333333	0.8556922345615211	14.606333333333334	0.8032524992941026	1.0	2.069897533033615	1.0495593511819885
ASPTA_b	18.83061931289813	0.9999765824471925	18.83061931289813	2.3417552807735585e-05	30.23361333333333	0.8556922345615211	14.606333333333334	0.8032524992941026	1.0	2.069897533033615	1.0495593511819885
ASPTAm	4.485877515490752	0.9945298182362672	4.485877515490752	0.0054701817637329	76.58952666666666	6.250984815559507	56.17623	1.529886073405466	1.0	1.3633796121004678	0.4471873143392691
ASPGLUm	7.492224381411539	0.9991512447144352	7.492224381411539	0.0008487552855649	6.065416666666667	0.6644151524126731	2.4613066666666668	0.1461656871118829	1.0	2.46430757646345	1.3011823336891721
ASPT	-2.544251168567069	0.0318463714437025	-2.544251168567069	0.9681536285562976	36.53460666666666	2.181260373535346	47.10685	5.45672980216173	-1.0	0.7755688751565146	-0.3666731879851547
CBPSam	10.784776337544672	0.9997904029066478	10.784776337544672	0.0002095970933522	0.6597066666666667	0.0845975796869443	0.0132033333333333	0.005502365148027	1.0	49.96516031305239	5.642850578510498
OCBTm					0.0	0.0	0.0	0.0	0.0		
ORNt4m	3.9334824415537137	0.991473514588714	3.9334824415537137	0.0085264854112858	10.396736666666667	2.616685113934974	3.02807	0.4142532807353491	1.0	3.433453211671681	1.7796603038654732
ARGSS	10.889339606871587	0.9997981241400264	10.889339606871587	0.0002018758599736	116.34619	12.687889685239227	18.17737	1.250047638318904	1.0	6.40060635834557	2.6782085846033308
ARGSL	1.4268994401244055	0.8866136555080499	1.4268994401244055	0.1133863444919501	6.6327533333333335	2.662095376507428	3.8409366666666656	0.7546620953483455	0.0	1.7268582923783353	0.7881496988071335
ARGN	-0.2409713931681739	0.4107124869705524	-0.2409713931681739	0.5892875130294476	0.2460233333333333	0.1307094034702766	0.2742633333333333	0.1018976847408985	0.0	0.8970332648670984	-0.15676660899705475
ORNDC	5.807205390192856	0.9978125898871472	5.807205390192856	0.0021874101128527	184.5859533333333	35.969527020425986	36.5912	2.2650925151230927	1.0	5.044544954342391	2.3347241361854842
SPMS	12.388904771236438	0.9998780006533076	12.388904771236438	0.0001219993466924	351.1940233333333	24.943066297814223	123.93990333333332	7.127484553624481	1.0	2.8335831631948722	1.502627544910177
SPRMS	11.922486482159323	0.9998582395517188	11.922486482159323	0.0001417604482813	393.1726566666666	26.91599574169523	158.00000333333332	7.327418448363809	1.0	2.488434483366361	1.315238403584462
ADMDC	4.1989471077352425	0.9931462919627514	4.1989471077352425	0.0068537080372486	68.73440333333333	16.410244625640278	19.11405333333333	3.162676043230198	1.0	3.5960139973799388	1.8463986365117933
MTAP	-17.013329430807943	3.499669363126303e-05	-17.013329430807943	0.9999650033063688	0.03868	0.0118376546100427	0.8097966666666666	0.0629956196008015	-1.0	0.04776507682998613	-4.3879000045918355
ADPT	-1.6048161394171088	0.091901760492855	-1.6048161394171088	0.9080982395071449	1447.1697133333334	156.8100696795569	1704.6421166666669	163.9843604657071	0.0	0.8489580887296118	-0.2362347621625717
MTRI					1.0	0.0	1.0	0.0	0.0	1.0	0.0
MDRPD	-2.50466764849402	0.0332172241097988	-2.50466764849402	0.9667827758902012	0.2900233333333333	0.0815369856091223	1.2280633333333333	0.5233328954775238	-1.0	0.23616317290910618	-2.0821440852908704
DKMPPD					1.0	0.0	1.0	0.0	0.0	1.0	0.0
SPMDtex2					1.0	0.0	1.0	0.0	0.0	1.0	0.0
SPRMti					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GLYAMDTRc	-5.893225479892922	0.0020731212075121	-5.893225479892922	0.9979268787924878	0.0890466666666666	0.0051762298592272	0.2643066666666666	0.0417378783467594	-1.0	0.33690662361902823	-1.569579302615316
ARGDr					1.0	0.0	1.0	0.0	0.0	1.0	0.0
r0074_f	-29.33248866173236	4.021314164765947e-06	-29.33248866173236	0.9999959786858352	6.89818	0.5041398179738101	22.26680333333333	0.5430291589674437	-1.0	0.3097966015478049	-1.6906067769607231
r0074_b	-29.33248866173236	4.021314164765947e-06	-29.33248866173236	0.9999959786858352	6.89818	0.5041398179738101	22.26680333333333	0.5430291589674437	-1.0	0.3097966015478049	-1.6906067769607231
GLU5SAtmc_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GLU5SAtmc_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
G5SADs_f	-29.33248866173236	4.021314164765947e-06	-29.33248866173236	0.9999959786858352	6.89818	0.5041398179738101	22.26680333333333	0.5430291589674437	-1.0	0.3097966015478049	-1.6906067769607231
G5SADs_b	-29.33248866173236	4.021314164765947e-06	-29.33248866173236	0.9999959786858352	6.89818	0.5041398179738101	22.26680333333333	0.5430291589674437	-1.0	0.3097966015478049	-1.6906067769607231
PRO1x	-3.217894253090871	0.0161725844909633	-3.217894253090871	0.9838274155090369	74.34441666666666	12.761842054714863	109.10531	8.397493871900114	-1.0	0.681400535562079	-0.5534250135340365
P5CR	-3.217894253090871	0.0161725844909633	-3.217894253090871	0.9838274155090369	74.34441666666666	12.761842054714863	109.10531	8.397493871900114	-1.0	0.681400535562079	-0.5534250135340365
PROD2					0.0	0.0	0.0	0.0	0.0		
EXRiboflavin					1.0	0.0	1.0	0.0	0.0	1.0	0.0
RBFK	7.209279299698707	0.9990186964004236	7.209279299698707	0.0009813035995764	47.37363333333334	7.65461983232058	8.31679	0.3273060744929734	1.0	5.6961439850391	2.5099856146814936
FMNAT	8.602372539285858	0.999498233127072	8.602372539285858	0.000501766872928	80.76898	4.833790281776812	48.2999	2.264323867603748	1.0	1.672239072958743	0.7417811181817718
TransportFAD					1.0	0.0	1.0	0.0	0.0	1.0	0.0
ASNS1	5.034170216067381	0.9963440033449192	5.034170216067381	0.0036559966550807	0.9751066666666668	0.2318345444971957	0.1275066666666666	0.0543067622144997	1.0	7.647495555787938	2.934987363386019
ASNN	-6.805363334187478	0.0012180073993407	-6.805363334187478	0.9987819926006593	2.2082	0.2472223490436628	3.65447	0.1709089946921069	-1.0	0.6042463065779717	-0.7267913452629572
METS	3.384922911714761	0.9861703259978344	3.384922911714761	0.0138296740021657	4.35615	0.4114500349576684	3.1145666666666667	0.3158964683070845	1.0	1.3986375846827275	0.48402217943172193
METAT	7.782482244240121	0.9992649853998852	7.782482244240121	0.0007350146001148	34.82417	3.839064817278638	12.002113333333334	1.568625045282935	1.0	2.9015031797177944	1.5368005099219688
HMR_3915					1.0	0.0	1.0	0.0	0.0	1.0	0.0
AHCi	-2.50466764849402	0.0332172241097988	-2.50466764849402	0.9667827758902012	0.2900233333333333	0.0815369856091223	1.2280633333333333	0.5233328954775238	-1.0	0.23616317290910618	-2.0821440852908704
ADNK1	9.879328983252814	0.9997054803498656	9.879328983252814	0.0002945196501344	1.7784733333333334	0.09948920254089	0.9276933333333334	0.0702441287384378	1.0	1.917091855067048	0.9389194635970506
CYSTS	15.528514487563394	0.9999498016943498	15.528514487563394	5.019830565023902e-05	9.932156666666666	0.8547322344583841	0.52658	0.0563101701885784	1.0	18.861629128843983	4.237382385672317
CYSTGL	5.025437530786092	0.9963214505197432	5.025437530786092	0.0036785494802568	1.7139266666666668	0.2332836145600934	0.8438233333333334	0.0743878181484635	1.0	2.0311439598336145	1.022292496048503
MTHFR3	-14.501399879345277	6.57411677976238e-05	-14.501399879345277	0.9999342588322024	3.93746	0.4220457535228459	10.373846666666669	0.4646242800610213	-1.0	0.37955641012623403	-1.3976137782545683
MetSynthesis					1.0	0.0	1.0	0.0	0.0	1.0	0.0
UNK3					1.0	0.0	1.0	0.0	0.0	1.0	0.0
5MTHFt	-22.128942566084675	1.2342101660303647e-05	-22.128942566084675	0.9999876578983398	0.5113833333333334	0.2227859981137853	20.25159333333333	1.241727344316062	-1.0	0.02525151107451958	-5.307486467079113
ILETA	3.653836406305959	0.9891510533003898	3.653836406305959	0.0108489466996102	0.3303299999999999	0.124965612069881	0.0073599999999999	0.0031458014347168	1.0	44.88179347826147	5.4880584221374535
3MOPt2im					1.0	0.0	1.0	0.0	0.0	1.0	0.0
ILETAm	6.468057645132099	0.9985283488055988	6.468057645132099	0.001471651194401	41.16323666666667	0.6566625799365233	34.44029	1.3151157899845427	1.0	1.195205866926982	0.2572591350383889
LEUTA	3.653836406305959	0.9891510533003898	3.653836406305959	0.0108489466996102	0.3303299999999999	0.124965612069881	0.0073599999999999	0.0031458014347168	1.0	44.88179347826147	5.4880584221374535
4MOPt2im					1.0	0.0	1.0	0.0	0.0	1.0	0.0
LEUTAm	6.468057645132099	0.9985283488055988	6.468057645132099	0.001471651194401	41.16323666666667	0.6566625799365233	34.44029	1.3151157899845427	1.0	1.195205866926982	0.2572591350383889
OIVD1m	0.1135918298824886	0.5424828159016284	0.1135918298824886	0.4575171840983716	0.0740966666666666	0.0249891394187332	0.06818	0.0692940877708913	0.0	1.086780091913561	0.12006004303115478
ACOAD8m	-4.983431555197131	0.00378943256123	-4.983431555197131	0.99621056743877	19.95562333333333	2.3466162988770773	30.55691	1.882620087555284	-1.0	0.6530641787187688	-0.6147033178636273
MCCCrm	-1.129330601871156	0.1609484964713726	-1.129330601871156	0.8390515035286273	3.755303333333333	0.5329741895147353	4.191590000000001	0.1201241768615572	0.0	0.8959138020019449	-0.1585681610492358
MGCHrm	5.957271824767825	0.9980072398892976	5.957271824767825	0.0019927601107024	0.6539033333333334	0.0260306413460922	0.4434666666666667	0.0426382811827848	1.0	1.4745264582080577	0.5602517096720073
HMGCOAtm					1.0	0.0	1.0	0.0	0.0	1.0	0.0
VALTA	3.653836406305959	0.9891510533003898	3.653836406305959	0.0108489466996102	0.3303299999999999	0.124965612069881	0.0073599999999999	0.0031458014347168	1.0	44.88179347826147	5.4880584221374535
3MOBt2im					1.0	0.0	1.0	0.0	0.0	1.0	0.0
VALTAim	6.468057645132099	0.9985283488055988	6.468057645132099	0.001471651194401	41.16323666666667	0.6566625799365233	34.44029	1.3151157899845427	1.0	1.195205866926982	0.2572591350383889
OIVD2m	0.1135918298824886	0.5424828159016284	0.1135918298824886	0.4575171840983716	0.0740966666666666	0.0249891394187332	0.06818	0.0692940877708913	0.0	1.086780091913561	0.12006004303115478
ACOAD9m	-3.503339517214571	0.0124105022359239	-3.503339517214571	0.987589497764076	18.95289333333333	0.9700745600668484	24.61045	2.0675552210924537	-1.0	0.7701156757935482	-0.3768529317297701
ECOAH12m	12.845961522596763	0.99989414530179	12.845961522596763	0.00010585469821	330.89005000000003	17.782672692485427	152.53068666666667	8.326676934489255	1.0	2.1693342974526266	1.1172523914677484
3HBCOAHLm					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HIBDm	-5.700611082457739	0.0023399584621078	-5.700611082457739	0.997660041537892	3.6851033333333336	0.2274073470424578	4.678043333333334	0.0946792875389801	-1.0	0.7877445912215434	-0.3442001513819586
r0643	-1.4870332355277824	0.1056058067619563	-1.4870332355277824	0.8943941932380436	135.8015333333333	12.846331634995613	151.26054	7.14982926742078	0.0	0.8977988134468733	-0.1555359053341082
MMSAD1m	5.111524842787946	0.9965365935779624	5.111524842787946	0.0034634064220377	18.685323333333333	2.9123345495362	7.9334	0.606179428882241	1.0	2.3552730649322275	1.23589433227368
MMTSADm					1.0	0.0	1.0	0.0	0.0	1.0	0.0
PCC					1.0	0.0	1.0	0.0	0.0	1.0	0.0
MMALH					1.0	0.0	1.0	0.0	0.0	1.0	0.0
MMEm	-10.832512952291491	0.0002060273702413	-10.832512952291491	0.9997939726297588	3.46221	0.4930165494855794	8.61377	0.4574473893975855	-1.0	0.4019389883871986	-1.314951568188119
MMMm	6.271851339025101	0.99835070362534	6.271851339025101	0.0016492963746599	13.014723333333334	1.317428364892081	6.72343	0.5261190424862673	1.0	1.935726754548398	0.9528753174473125
ILEtmi					1.0	0.0	1.0	0.0	0.0	1.0	0.0
LEUt5m					1.0	0.0	1.0	0.0	0.0	1.0	0.0
VALt5m					1.0	0.0	1.0	0.0	0.0	1.0	0.0
PGCD	7.252053115536006	0.999040295782314	7.252053115536006	0.0009597042176859	42.175806666666666	3.506433106708615	22.622163333333333	1.4982969964225683	1.0	1.8643578001455505	0.8986787628673302
PSERT	9.8013222411328	0.9996963107878946	9.8013222411328	0.0003036892121055	41.628166666666665	4.840205510253558	7.75958	0.6734515932616583	1.0	5.3647448272543965	2.423509551185027
PSP_L	3.856727413579532	0.9909010420402736	3.856727413579532	0.0090989579597262	8.441506666666667	0.877281863117867	5.966206666666667	0.2328644599093833	1.0	1.4148867342845426	0.5006865658299829
GHMT2r_f	4.714953049636107	0.9953970608253828	4.714953049636107	0.004602939174617	21.05800333333333	1.4630585781467838	15.76138	0.6191664312606112	1.0	1.3360507349821733	0.4179747935285921
GHMT2r_b	4.714953049636107	0.9953970608253828	4.714953049636107	0.004602939174617	21.05800333333333	1.4630585781467838	15.76138	0.6191664312606112	1.0	1.3360507349821733	0.4179747935285921
SERD_L	5.950671080913804	0.9979991365635222	5.950671080913804	0.0020008634364777	24.310900000000004	2.7739397966190005	10.968213333333331	1.5363327439573615	1.0	2.216486793351941	1.1482747664181678
ALATA_L_f	13.048766113736734	0.9999004530713632	13.048766113736734	9.954692863676097e-05	32.60111333333333	1.6081937530934778	16.404633333333333	0.7035634105671568	1.0	1.9873113083905156	0.9908178856183965
ALATA_L_b	13.048766113736734	0.9999004530713632	13.048766113736734	9.954692863676097e-05	32.60111333333333	1.6081937530934778	16.404633333333333	0.7035634105671568	1.0	1.9873113083905156	0.9908178856183965
r1435					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GLYtm_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GHMT2rm	7.303216694794928	0.999065366366223	7.303216694794928	0.0009346336337769	560.8733333333333	55.71221278984609	261.64768	15.92230646913526	1.0	2.143620510349388	1.1000495250607931
MLTHFtm_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
r0962	5.153293076630712	0.9966354390538266	5.153293076630712	0.0033645609461734	21.214566666666663	3.751241571980609	7.353593333333333	0.630471937643188	1.0	2.8849251930348787	1.5285339098458572
FORtm_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
r0514	17.486128943507563	0.999968599514214	17.486128943507563	3.140048578587301e-05	61.37655	3.8265849931847407	13.338333333333331	0.672061083401072	1.0	4.601515681619394	2.2021091451231434
DHFRim	17.486128943507563	0.999968599514214	17.486128943507563	3.140048578587301e-05	61.37655	3.8265849931847407	13.338333333333331	0.672061083401072	1.0	4.601515681619394	2.2021091451231434
FTHFLmi	9.21294246747493	0.9996143760469556	9.21294246747493	0.0003856239530442	51.49497	6.673805235041453	7.894629999999999	0.5036076274905563	1.0	6.522784475016563	2.705487959969673
MTHFCm	4.852179278600856	0.9958368639260556	4.852179278600856	0.0041631360739444	82.79544	11.587889316129436	40.245763333333336	4.41793719914874	1.0	2.05724610847237	1.0407143938793122
MTHFDm	8.929357240835742	0.9995651159054062	8.929357240835742	0.0004348840945937	128.95966333333334	12.318310347006022	47.30989333333334	3.934918746813232	1.0	2.725849801112776	1.4467060694213105
FOLR2	17.486128943507563	0.999968599514214	17.486128943507563	3.140048578587301e-05	61.37655	3.8265849931847407	13.338333333333331	0.672061083401072	1.0	4.601515681619394	2.2021091451231434
DHFR	17.486128943507563	0.999968599514214	17.486128943507563	3.140048578587301e-05	61.37655	3.8265849931847407	13.338333333333331	0.672061083401072	1.0	4.601515681619394	2.2021091451231434
FTHFLi	9.242532271010004	0.9996191076811832	9.242532271010004	0.0003808923188167	46.16423	5.963087396933461	7.064130000000001	0.4848266131996743	1.0	6.535019882136936	2.7081916252811102
FTHFDH	-8.093854763870203	0.0006332093898728	-8.093854763870203	0.9993667906101272	0.10627	0.0139232347774023	0.2491033333333333	0.0207119809664733	-1.0	0.42661010825494117	-1.2290099450632959
MTHFC_f	9.242532271010004	0.9996191076811832	9.242532271010004	0.0003808923188167	46.16423	5.963087396933461	7.064130000000001	0.4848266131996743	1.0	6.535019882136936	2.7081916252811102
MTHFC_b	9.242532271010004	0.9996191076811832	9.242532271010004	0.0003808923188167	46.16423	5.963087396933461	7.064130000000001	0.4848266131996743	1.0	6.535019882136936	2.7081916252811102
MTHFD	7.567265730058126	0.9991826215556364	7.567265730058126	0.0008173784443635	50.101686666666666	6.090441231363199	17.437976666666668	0.4122796418559726	1.0	2.8731364667116384	1.5226265188615282
MTHFD2i_f	4.856793391417228	0.9958507421516792	4.856793391417228	0.0041492578483205	83.19528666666666	11.575581536393276	40.65549666666666	4.409064113999201	1.0	2.046347812419625	1.0330513770513738
MTHFD2i_b	4.856793391417228	0.9958507421516792	4.856793391417228	0.0041492578483205	83.19528666666666	11.575581536393276	40.65549666666666	4.409064113999201	1.0	2.046347812419625	1.0330513770513738
ACACT1r	3.562890781148956	0.9882374928690446	3.562890781148956	0.0117625071309554	30.429600000000004	5.836961382437497	15.10471	1.712137275979937	1.0	2.014576910116116	1.0104768840296139
HMGCOAS	0.0810483217214332	0.5303515990609988	0.0810483217214332	0.4696484009390012	31.28397666666667	5.428700796920834	30.846353333333337	5.37021287691238	0.0	1.0141871983571047	0.020323969121522234
HMGCOAR	3.241740680003494	0.984189094875728	3.241740680003494	0.015810905124272	46.19466666666667	10.19903169358194	22.414910000000003	1.896993026713594	1.0	2.060890124772603	1.043267590432135
MEVK1	-14.354649925022963	6.842721662942658e-05	-14.354649925022963	0.9999315727833706	12.669263333333332	1.3249745232603114	42.33616666666666	2.605192069238317	-1.0	0.2992539082029943	-1.740558006254055
PMEVK	6.158912085839349	0.998236453213632	6.158912085839349	0.0017635467863679	29.55179	2.682929775351316	17.671120000000002	0.4940960603634352	1.0	1.672321279013441	0.7418520382758867
IPDDI	8.686682843529418	0.9995166318173916	8.686682843529418	0.0004833681826083	91.68752333333332	4.669938662711627	50.79752666666667	4.744178556233125	1.0	1.8049603858665555	0.851967174098029
DPMVD	-2.116725473576729	0.0508582678395682	-2.116725473576729	0.9491417321604316	62.993876666666665	5.895359371722436	81.35238333333332	10.755882071977588	0.0	0.7743335116385651	-0.3689730143660275
DMATT	-5.360253930902068	0.0029226627708352	-5.360253930902068	0.9970773372291648	6.0367	1.3882501152890283	11.762	0.5953545337583868	-1.0	0.513237544635266	-0.9623013837779835
GRTT	-5.360253930902068	0.0029226627708352	-5.360253930902068	0.9970773372291648	6.0367	1.3882501152890283	11.762	0.5953545337583868	-1.0	0.513237544635266	-0.9623013837779835
HMR_1465					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HMR_1467					1.0	0.0	1.0	0.0	0.0	1.0	0.0
SMO	29.579419602170315	0.9999961107956746	29.579419602170315	3.889204325438137e-06	147.75657333333334	4.953493309953655	31.043756666666667	2.5691817868773352	1.0	4.759622842037911	2.2508472572560194
LNSTLS	-6.989541735304012	0.0011022230837339	-6.989541735304012	0.998897776916266	8.305670000000001	1.5593191768418253	19.106753333333334	1.5311941957468644	-1.0	0.43469813291146975	-1.2019141958325514
HMR_1477	2.1635326621197777	0.9517468028737645	2.1635326621197777	0.0482531971262356	1.3597833333333331	0.8017727974238643	0.1283566666666666	0.0712642950961809	1.0	10.593788142415669	3.4051466574985736
HMR_1478	2.1635326621197777	0.9517468028737645	2.1635326621197777	0.0482531971262356	1.3597833333333331	0.8017727974238643	0.1283566666666666	0.0712642950961809	1.0	10.593788142415669	3.4051466574985736
HMR_1479	2.1635326621197777	0.9517468028737645	2.1635326621197777	0.0482531971262356	1.3597833333333331	0.8017727974238643	0.1283566666666666	0.0712642950961809	1.0	10.593788142415669	3.4051466574985736
C14STR	-4.2262134045762325	0.0067053258087637	-4.2262134045762325	0.9932946741912364	185.11788	16.421923730897063	260.6775166666667	19.225597793439057	-1.0	0.710141336188628	-0.4938219086842076
HMR_1490	6.001445462487387	0.9980604446554354	6.001445462487387	0.0019395553445646	51.98852333333334	4.243335859205846	30.53758666666667	2.7468656055260907	1.0	1.7024437425528933	0.7676071250033092
HMR_1493	6.001445462487387	0.9980604446554354	6.001445462487387	0.0019395553445646	51.98852333333334	4.243335859205846	30.53758666666667	2.7468656055260907	1.0	1.7024437425528933	0.7676071250033092
HMR_1494	6.001445462487387	0.9980604446554354	6.001445462487387	0.0019395553445646	51.98852333333334	4.243335859205846	30.53758666666667	2.7468656055260907	1.0	1.7024437425528933	0.7676071250033092
C3STDH1	5.166977452573444	0.996667072612661	5.166977452573444	0.0033329273873391	13.769233333333334	1.1825376029069388	9.376876666666666	0.2165295346033779	1.0	1.468424276313755	0.5542688706996193
HMR_1495	5.166977452573444	0.996667072612661	5.166977452573444	0.0033329273873391	13.769233333333334	1.1825376029069388	9.376876666666666	0.2165295346033779	1.0	1.468424276313755	0.5542688706996193
HMR_1500	18.88139291330768	0.9999768310053015	18.88139291330768	2.316899469845154e-05	5.341670000000001	0.0952502892384062	3.7332866666666655	0.0737552937459784	1.0	1.4308223495650845	0.5168445586392959
HMR_1502	6.001445462487387	0.9980604446554354	6.001445462487387	0.0019395553445646	51.98852333333334	4.243335859205846	30.53758666666667	2.7468656055260907	1.0	1.7024437425528933	0.7676071250033092
HMR_1503	6.001445462487387	0.9980604446554354	6.001445462487387	0.0019395553445646	51.98852333333334	4.243335859205846	30.53758666666667	2.7468656055260907	1.0	1.7024437425528933	0.7676071250033092
HMR_1504	6.001445462487387	0.9980604446554354	6.001445462487387	0.0019395553445646	51.98852333333334	4.243335859205846	30.53758666666667	2.7468656055260907	1.0	1.7024437425528933	0.7676071250033092
HMR_1505	5.166977452573444	0.996667072612661	5.166977452573444	0.0033329273873391	13.769233333333334	1.1825376029069388	9.376876666666666	0.2165295346033779	1.0	1.468424276313755	0.5542688706996193
HMR_1509	18.88139291330768	0.9999768310053015	18.88139291330768	2.316899469845154e-05	5.341670000000001	0.0952502892384062	3.7332866666666655	0.0737552937459784	1.0	1.4308223495650845	0.5168445586392959
CHLSTI_1	-1.8085408418265445	0.0723963680242233	-1.8085408418265445	0.9276036319757768	168.50833333333335	16.388363889858628	208.6410833333333	26.76329638412196	0.0	0.8076469439344203	-0.30820332610369666
HMR_1516	2.687477919457813	0.9725993465962084	2.687477919457813	0.0274006534037914	20.682876666666665	2.7113410014521504	15.138113333333331	1.0780038089089583	1.0	1.366278360535461	0.4502514429633907
RE2410C					1.0	0.0	1.0	0.0	0.0	1.0	0.0
DSMSTOLR					1.0	0.0	1.0	0.0	0.0	1.0	0.0
ACCOAC	3.86767554211604	0.9909854563374064	3.86767554211604	0.0090145436625936	3.1845766666666666	0.6577451215748812	1.3814233333333332	0.0455737382954505	1.0	2.305286576405495	1.204946107123121
FASN	-4.3409485772211465	0.0061219044032788	-4.3409485772211465	0.9938780955967212	345.5619566666667	68.82113279773608	666.22373	78.59342551872939	-1.0	0.5186875536040523	-0.9470623435957836
MCAT	-4.3409485772211465	0.0061219044032788	-4.3409485772211465	0.9938780955967212	345.5619566666667	68.82113279773608	666.22373	78.59342551872939	-1.0	0.5186875536040523	-0.9470623435957836
AcetoacetylACPsynthesis	-4.3409485772211465	0.0061219044032788	-4.3409485772211465	0.9938780955967212	345.5619566666667	68.82113279773608	666.22373	78.59342551872939	-1.0	0.5186875536040523	-0.9470623435957836
r0691	-4.3409485772211465	0.0061219044032788	-4.3409485772211465	0.9938780955967212	345.5619566666667	68.82113279773608	666.22373	78.59342551872939	-1.0	0.5186875536040523	-0.9470623435957836
r0681	-4.3409485772211465	0.0061219044032788	-4.3409485772211465	0.9938780955967212	345.5619566666667	68.82113279773608	666.22373	78.59342551872939	-1.0	0.5186875536040523	-0.9470623435957836
r0682	-4.3409485772211465	0.0061219044032788	-4.3409485772211465	0.9938780955967212	345.5619566666667	68.82113279773608	666.22373	78.59342551872939	-1.0	0.5186875536040523	-0.9470623435957836
r0760	-4.3409485772211465	0.0061219044032788	-4.3409485772211465	0.9938780955967212	345.5619566666667	68.82113279773608	666.22373	78.59342551872939	-1.0	0.5186875536040523	-0.9470623435957836
r0761	-4.3409485772211465	0.0061219044032788	-4.3409485772211465	0.9938780955967212	345.5619566666667	68.82113279773608	666.22373	78.59342551872939	-1.0	0.5186875536040523	-0.9470623435957836
